5,Sample,Unit,Unit2,Type,Date,LAICPMS file name,Mineral,Laser spot number,Final spot reference,Zone,Zircon Name,Spot size (?m),Frequency (Hz),Fluence (J/cm2),Method,Number of slices,Date Interpretation,2s uncertainty,Ext unc,Filter,WREu/Eu*,WR_SiO2,WR_MgO,WR_Zr,207Pb/235U,207Pb/235U _2s.,206Pb/238U,206Pb/238U_2s.,Rho,207Pb/206Pb,207Pb/206Pb_2s.,Date_207Pb/235U (Ma),Date_207Pb/235U_2s. (Ma),Date206Pb238UMa,Date206Pb238U2s,Date_207Pb/206Pb (Ma),Date_207Pb/206Pb_2s. (Ma),Al27_ppm,Si28_ppm,P31_ppm,Ca43_ppm,Ti49_ppm,V51_ppm,Fe57_ppm,Y89_ppm,Zr91_ppm,Nb93_ppm,Ba137_ppm,La139_ppm,Ce140_ppm,Pr141_ppm,Nd145_ppm,Sm147_ppm,Eu151_ppm,Gd157_ppm,Tb159_ppm,Dy163_ppm,Ho165_ppm,Er167_ppm,Tm169_ppm,Yb173_ppm,Lu175_ppm,Hf177_ppm,Ta181_ppm,Pb206_ppm,Th232_ppm,U238_ppm,Al27_2s._ppm,P31_2s._ppm,Ca43_2s._ppm,Ti49_2s._ppm,V51_2s._ppm,Fe57_2s._ppm,Y89_2s._ppm,Zr91_2s._ppm,Nb93_2s._ppm,Ba137_2s._ppm,La139_2s._ppm,Ce140_2s._ppm,Pr141_2s._ppm,Nd145_2s._ppm,Sm147_2s._ppm,Eu151_2s._ppm,Gd157_2s._ppm,Tb159_2s._ppm,Dy163_2s._ppm,Ho165_2s._ppm,Er167_2s._ppm,Tm169_2s._ppm,Yb173_2s._ppm,Lu175_2s._ppm,Hf177_2s._ppm,Ta181_2s._ppm,Pb206_2s._ppm,Th232_2s._ppm,U238_2s._ppm,Al27_LOD_ppm,P31_LOD_ppm,Ca43_LOD_ppm,Ti49_LOD_ppm,V51_LOD_ppm,Fe57_LOD_ppm,Y89_LOD_ppm,Zr91_LOD_ppm,Nb93_LOD_ppm,Ba137_LOD_ppm,La139_LOD_ppm,Ce140_LOD_ppm,Pr141_LOD_ppm,Nd145_LOD_ppm,Sm147_LOD_ppm,Eu151_LOD_ppm,Gd157_LOD_ppm,Tb159_LOD_ppm,Dy163_LOD_ppm,Ho165_LOD_ppm,Er167_LOD_ppm,Tm169_LOD_ppm,Yb173_LOD_ppm,Lu175_LOD_ppm,Hf177_LOD_ppm,Ta181_LOD_ppm,Pb206_LOD_ppm,Th232_LOD_ppm,U238_LOD_ppm
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191107_196_QVC19CN075_3_1,Zrc,QVC19CN075_3_1,191107_196_QVC19CN075_3_1_Zrc,,,30,7,3.5,LODE_zrc,36,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.0698,0.0057,0.01057,0.00026,0.0641,0.0481,0.0041,68.4,5.4,67.8,1.7,70,170,<0.45,153000,402,<120,15.6,0.554,<6.8,2153,474700,1.327,<0.022,0.029,17.63,0.416,6.96,11.3,0.591,52.7,16.11,193.7,67.9,318.8,61.1,525,98.4,10920,0.592,21.33,499,508,<0.45,12,<120,1.3,0.076,<6.8,41,7500,0.082,<0.022,0.01,0.47,0.038,0.67,0.57,0.07,2.1,0.48,5.6,1.7,7.9,1.6,12,2.4,200,0.036,0.77,13,15,0.45,19,120,0.44,0.076,6.8,0.0027,0.045,0.0091,0.022,0.0041,0.0082,0.0047,0.058,0.014,0.012,0.037,0.0018,0.034,0.0019,0.02,0.0069,0.011,0.0093,0.023,0.0072,0.028,0.0087,0.0036
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191115_204_QVC19CN075_3_8,Zrc,QVC19CN075_3_8,191115_204_QVC19CN075_3_8_Zrc,,,30,7,3.5,LODE_zrc,22,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.074,0.012,0.01026,0.00034,0.081122,0.0526,0.0089,72,11,65.8,2.2,330,260,295,153000,328,<130,16.9,0.67,14.6,1395,467700,0.763,<0.1,0.026,13.78,0.186,3.05,6.49,0.91,33.3,9.93,121.1,43.7,212.5,42.2,385,76.2,9590,0.275,7.55,202.8,186.1,50,14,<130,1.9,0.14,6.2,33,8800,0.075,<0.1,0.013,0.51,0.031,0.71,0.67,0.12,1.5,0.43,4.5,1.6,7.6,1.7,15,2.9,280,0.045,0.44,8.8,8.9,0.54,22,130,0.57,0.095,8.2,0.0044,0.073,0.012,0.1,0.0038,0.0038,0.0039,0.039,0.053,0.013,0.02,0.0071,0.025,0.0073,0.013,0.0029,0.051,0.0083,0.037,0.0028,0.032,0.011,0.0045
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191137_226_QVC19CN075_7_4,Zrc,QVC19CN075_7_4,191137_226_QVC19CN075_7_4_Zrc,,,30,7,3.5,LODE_zrc,31,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.093,0.012,0.01039,0.00044,0.10419,0.0659,0.0087,90,11,66.6,2.8,660,300,84,153000,261,<140,17.9,0.515,82,718,493000,1.065,0.049,0.0215,12.42,0.066,0.93,2.07,0.288,12.72,4.12,56.2,21.84,114.3,24.21,238.1,49.82,11030,0.513,8.26,138.8,216,40,24,<140,2.1,0.097,35,16,13000,0.082,0.05,0.0097,0.56,0.016,0.28,0.34,0.05,0.72,0.17,1.4,0.76,3.3,0.65,7,0.99,270,0.054,0.44,5.2,12,0.57,25,140,0.64,0.11,9.1,0.004,0.066,0.0088,0.033,0.0061,0.013,0.0033,0.08,0.064,0.017,0.065,0.0075,0.026,0.0027,0.012,0.006,0.038,0.0088,0.049,0.0058,0.027,0.0037,0.0072
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190947_036_QVC19CN083_3_21,Zrc,QVC19CN083_3_21,190947_036_QVC19CN083_3_21_Zrc,,,30,7,3.5,LODE_zrc,37,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.0653,0.0063,0.00923,0.00026,-0.29897,0.0487,0.0056,64,6,59.2,1.7,200,210,0.73,153000,175,<110,5.72,0.248,<7.2,797,486000,1.52,<0.019,0.0096,13.36,0.128,1.62,3.7,0.73,18,5.69,69.1,25.3,122.6,27.4,253,50.5,12830,1.22,18.6,117.3,520,0.27,16,<110,0.95,0.073,<7.2,66,12000,0.19,<0.019,0.0048,0.59,0.029,0.37,0.69,0.14,2.6,0.74,7.7,2.4,7.3,1.9,11,1.9,730,0.28,3.8,7,110,0.43,21,110,0.39,0.071,7.2,0.0023,0.038,0.0022,0.019,0.00099,0.005,0.0026,0.05,0.028,0.013,0.011,0.0038,0.016,0.0016,0.021,0.0047,0.0097,0.0039,0.02,0.0045,0.03,0.0052,0.0033
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191023_112_QVC19CN083_9_26,Zrc,QVC19CN083_9_26,191023_112_QVC19CN083_9_26_Zrc,,,30,7,3.5,LODE_zrc,19,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.069,0.013,0.00926,0.00051,0.34869,0.0535,0.0095,67,13,59.4,3.2,250,370,8.2,153000,172,<160,5.94,0.294,13.1,401,453300,1.01,<0.048,0.0055,10.26,0.0065,0.19,1.01,0.146,5.88,2.35,29.2,12.22,64.8,14.91,154.4,35.82,12530,0.888,12.04,59.7,322,4.2,19,<160,0.83,0.079,9.6,9.9,8800,0.11,<0.048,0.0056,0.29,0.0043,0.14,0.26,0.049,0.64,0.15,1.3,0.48,2.2,0.44,5,0.9,250,0.084,0.83,1.8,17,0.65,30,160,0.59,0.11,10,0.011,0.096,0.013,0.048,0.0025,0.013,0.0055,0.12,0.029,0.0087,0.061,0.0039,0.032,0.004,0.018,0.0088,0.025,0.004,0.039,0.0071,0.041,0.016,0.0059
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190969_058_QVC19CN083_3_39,Zrc,QVC19CN083_3_39,190969_058_QVC19CN083_3_39_Zrc,,,30,7,3.5,LODE_zrc,22,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.058,0.015,0.00951,0.00047,-0.052709,0.045,0.012,57,14,61,3,-110,480,<0.53,153000,220,<150,6.2,0.54,<8.1,524,469000,1.1,<0.11,0.053,14.89,0.048,0.7,1.73,0.239,9.41,3.3,42.5,16,82.9,17.87,175.5,36,11440,0.371,4.92,93.7,130.7,<0.53,23,<150,1.2,0.15,<8.1,14,11000,0.12,<0.11,0.052,0.52,0.026,0.26,0.26,0.06,0.81,0.22,1.8,0.57,2.8,0.56,7.7,1.4,390,0.055,0.28,3.2,4.5,0.53,26,150,0.54,0.087,8.1,0.0042,0.07,0.0041,0.11,0.0055,0.0037,0.0038,0.037,0.021,0.013,0.047,0.0068,0.012,0.0029,0.039,0.0068,0.054,0.007,0.04,0.0027,0.041,0.0039,0.0058
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191012_101_QVC19CN083_9_17,Zrc,QVC19CN083_9_17,191012_101_QVC19CN083_9_17_Zrc,Rim,83-17,30,7,3.5,LODE_zrc,31,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.081,0.012,0.00981,0.00044,-0.36329,0.0584,0.009,79,11,62.9,2.8,460,340,24,153000,224,<150,6.7,0.49,23,600,462600,1.37,<0.073,0.059,12.77,0.06,0.98,2.04,0.43,10.6,3.53,45.1,18.2,91.7,20.2,202,43.4,11870,0.756,10.49,83.2,269.4,13,21,<150,1,0.11,13,30,8800,0.12,<0.073,0.032,0.56,0.017,0.29,0.37,0.084,1.1,0.24,3.1,1,5,1.1,10,2.1,300,0.07,0.59,3.9,9.2,0.62,27,150,0.57,0.11,8.6,0.0087,0.063,0.0085,0.073,0.0038,0.0076,0.0032,0.11,0.044,0.0057,0.017,0.0025,0.025,0.0026,0.033,0.0025,0.058,0.0026,0.013,0.0056,0.038,0.011,0.004
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190977_066_QVC19CN083_3_41,Zrc,QVC19CN083_3_41,190977_066_QVC19CN083_3_41_Zrc,,,30,7,3.5,LODE_zrc,20,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.08,0.015,0.00941,0.0006,0.18131,0.063,0.012,78,14,60.4,3.8,510,400,55,153000,263,160,7.4,0.325,8.2,613,478000,1.372,0.14,0.51,17.4,0.15,1.16,1.67,0.338,10.74,3.72,48.9,18.88,98.5,21.4,215,41.2,11100,0.465,5.09,103,150.2,68,64,130,1,0.086,6.4,18,18000,0.099,0.13,0.47,1.3,0.12,0.57,0.26,0.066,0.68,0.25,2.1,0.73,4.4,1.1,12,2,610,0.06,0.32,4.8,8.5,0.45,21,120,0.4,0.076,7.5,0.011,0.12,0.0037,0.031,0.0032,0.0033,0.0014,0.033,0.05,0.011,0.017,0.0049,0.011,0.0076,0.011,0.0059,0.05,0.0026,0.035,0.0024,0.03,0.0068,0.0037
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190932_021_QVC19CN083_3_13,Zrc,QVC19CN083_3_13,190932_021_QVC19CN083_3_13_Zrc,Rim,83-3,30,7,3.5,LODE_zrc,31,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.074,0.013,0.00926,0.00048,0.15957,0.059,0.01,72,12,59.4,3,360,330,3.73,153000,165,<140,7.69,0.38,10.8,436,464500,1.081,<0.062,0.044,11.88,0.0359,0.59,1.15,0.253,7.18,2.5,35.8,13.9,70.7,15.31,150.3,31.1,11350,0.331,4.08,84.5,109.3,0.92,17,<140,0.86,0.074,6.5,8.7,9700,0.075,<0.062,0.012,0.3,0.0097,0.16,0.19,0.063,0.49,0.13,1.3,0.52,2.5,0.45,4.6,1,330,0.041,0.22,2.8,3.8,0.53,28,140,0.47,0.091,9.2,0.014,0.15,0.0032,0.062,0.0032,0.0029,0.0039,0.029,0.016,0.0049,0.015,0.005,0.0092,0.0022,0.023,0.0049,0.032,0.0022,0.011,0.0021,0.036,0.003,0.0034
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190964_053_QVC19CN083_3_35,Zrc,QVC19CN083_3_35,190964_053_QVC19CN083_3_35_Zrc,,,30,7,3.5,LODE_zrc,59,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.0595,0.0097,0.00923,0.00047,-0.043389,0.0487,0.0089,58.1,9.3,59.2,3,-60,320,0.51,153000,191,<100,7.69,0.413,<6.7,427.3,464500,0.997,<0.059,<0.0034,11.86,0.0167,0.44,1.35,0.206,7.31,2.561,33.81,13.2,68.4,14.78,143.9,29.72,11170,0.346,3.51,63.2,96.1,0.22,11,<100,0.64,0.063,<6.7,8.1,9500,0.065,<0.059,<0.0034,0.32,0.0044,0.12,0.16,0.034,0.38,0.072,0.96,0.34,1.9,0.4,4.2,0.76,270,0.03,0.19,1.6,2.2,0.41,19,100,0.38,0.065,6.7,0.0015,0.1,0.0059,0.059,0.0034,0.0053,0.00057,0.014,0.0078,0.0023,0.0071,0.001,0.017,0.0011,0.022,0.001,0.026,0.0011,0.0053,0.0045,0.027,0.0056,0.004
