5,Sample,Unit,Unit2,Type,Date,LAICPMS file name,Mineral,Laser spot number,Final spot reference,Zone,Zircon Name,Spot size (?m),Frequency (Hz),Fluence (J/cm2),Method,Number of slices,Date Interpretation,2s uncertainty,Ext unc,Filter,WREu/Eu*,WR_SiO2,WR_MgO,WR_Zr,207Pb/235U,207Pb/235U _2s.,206Pb/238U,206Pb/238U_2s.,Rho,207Pb/206Pb,207Pb/206Pb_2s.,Date_207Pb/235U (Ma),Date_207Pb/235U_2s. (Ma),Date206Pb238UMa,Date206Pb238U2s,Date_207Pb/206Pb (Ma),Date_207Pb/206Pb_2s. (Ma),Al27_ppm,Si28_ppm,P31_ppm,Ca43_ppm,Ti49_ppm,V51_ppm,Fe57_ppm,Y89_ppm,Zr91_ppm,Nb93_ppm,Ba137_ppm,La139_ppm,Ce140_ppm,Pr141_ppm,Nd145_ppm,Sm147_ppm,Eu151_ppm,Gd157_ppm,Tb159_ppm,Dy163_ppm,Ho165_ppm,Er167_ppm,Tm169_ppm,Yb173_ppm,Lu175_ppm,Hf177_ppm,Ta181_ppm,Pb206_ppm,Th232_ppm,U238_ppm,Al27_2s._ppm,P31_2s._ppm,Ca43_2s._ppm,Ti49_2s._ppm,V51_2s._ppm,Fe57_2s._ppm,Y89_2s._ppm,Zr91_2s._ppm,Nb93_2s._ppm,Ba137_2s._ppm,La139_2s._ppm,Ce140_2s._ppm,Pr141_2s._ppm,Nd145_2s._ppm,Sm147_2s._ppm,Eu151_2s._ppm,Gd157_2s._ppm,Tb159_2s._ppm,Dy163_2s._ppm,Ho165_2s._ppm,Er167_2s._ppm,Tm169_2s._ppm,Yb173_2s._ppm,Lu175_2s._ppm,Hf177_2s._ppm,Ta181_2s._ppm,Pb206_2s._ppm,Th232_2s._ppm,U238_2s._ppm,Al27_LOD_ppm,P31_LOD_ppm,Ca43_LOD_ppm,Ti49_LOD_ppm,V51_LOD_ppm,Fe57_LOD_ppm,Y89_LOD_ppm,Zr91_LOD_ppm,Nb93_LOD_ppm,Ba137_LOD_ppm,La139_LOD_ppm,Ce140_LOD_ppm,Pr141_LOD_ppm,Nd145_LOD_ppm,Sm147_LOD_ppm,Eu151_LOD_ppm,Gd157_LOD_ppm,Tb159_LOD_ppm,Dy163_LOD_ppm,Ho165_LOD_ppm,Er167_LOD_ppm,Tm169_LOD_ppm,Yb173_LOD_ppm,Lu175_LOD_ppm,Hf177_LOD_ppm,Ta181_LOD_ppm,Pb206_LOD_ppm,Th232_LOD_ppm,U238_LOD_ppm
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191055_144_QVC19CN083_12_1,Zrc,QVC19CN083_12_1,191055_144_QVC19CN083_12_1_Zrc,,,30,7,3.5,LODE_zrc,11,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.061,0.013,0.00974,0.00055,0.12854,0.0455,0.0099,60,12,62.5,3.5,-50,410,50,153000,410,<180,12.1,1.49,<10,919,494000,1.45,0.44,0.99,20.2,0.365,2.73,4.03,0.59,19.4,6.18,77,29.6,146.8,29.2,277,55.2,10960,0.501,6.88,200.6,184.1,11,26,<180,2.4,0.21,<10,25,18000,0.13,0.23,0.22,1.2,0.077,0.69,0.53,0.11,1.2,0.3,3.5,1.2,6.9,1.4,11,2.4,570,0.084,0.42,9.8,9.5,0.68,29,180,0.63,0.12,10,0.0081,0.14,0.0079,0.068,0.0035,0.0071,0.003,0.072,0.088,0.012,0.062,0.0054,0.038,0.012,0.048,0.01,0.067,0.012,0.028,0.012,0.044,0.015,0.004
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191029_118_QVC19CN083_9_31,Zrc,QVC19CN083_9_31,191029_118_QVC19CN083_9_31_Zrc,,,30,7,3.5,LODE_zrc,59,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.065,0.011,0.00954,0.00037,-0.012982,0.0506,0.009,63,11,61.2,2.3,-10,310,<0.4,153000,234,<96,12.34,0.599,<6.1,837,480200,0.792,<0.013,0.0053,10.8,0.096,2.26,4.16,0.749,19.89,6.05,71.8,26,125.1,26.32,241.2,49,10100,0.32,3.87,91.4,102.9,<0.4,10,<96,0.85,0.093,<6.1,28,9600,0.055,<0.013,0.003,0.38,0.013,0.26,0.33,0.068,0.89,0.29,2.8,1,4.6,0.95,9.4,1.7,210,0.028,0.21,3.9,4.1,0.4,18,96,0.37,0.067,6.1,0.0063,0.027,0.0061,0.013,0.0027,0.0014,0.00059,0.014,0.025,0.0024,0.0074,0.0055,0.0045,0.0011,0.015,0.006,0.0068,0.0011,0.017,0.004,0.021,0.0077,0.0027
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191074_163_QVC19CN083_12_12,Zrc,QVC19CN083_12_12,191074_163_QVC19CN083_12_12_Zrc,,,30,7,3.5,LODE_zrc,54,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.057,0.013,0.00955,0.00036,0.006401,0.044,0.01,56,12,61.2,2.3,-200,360,1.86,153000,221,<94,12.39,1.2,<6.6,874,479500,0.654,<0.063,0.0041,11.77,0.096,2.21,4.54,0.87,22.7,6.72,79.7,27.6,130.7,26.2,241,46,10600,0.219,3.62,100.3,97.4,0.78,13,<94,0.68,0.14,<6.6,39,8000,0.049,<0.063,0.0025,0.49,0.016,0.33,0.39,0.1,1.6,0.47,4.7,1.5,6.4,1.3,12,2.1,280,0.026,0.19,5.9,4.8,0.39,18,94,0.38,0.066,6.6,0.0017,0.085,0.0017,0.063,0.0037,0.0045,0.0019,0.015,0.026,0.0026,0.035,0.0067,0.0049,0.0012,0.016,0.0011,0.0074,0.0035,0.006,0.0033,0.025,0.007,0.003
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191104_193_QVC19CN083_12_32,Zrc,QVC19CN083_12_32,191104_193_QVC19CN083_12_32_Zrc,Rim,83-27,30,7,3.5,LODE_zrc,45,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.063,0.012,0.00978,0.0005,0.075489,0.0478,0.0089,62,11,62.7,3.2,-50,350,<0.41,153000,251,<110,12.6,0.4,<6.1,603,489100,0.948,<0.045,<0.0034,10.61,0.0418,0.78,2,0.378,11.75,3.93,50.5,18.84,93.5,19.95,187.8,37.2,10510,0.343,2.93,65.2,77.3,<0.41,13,<110,0.94,0.065,<6.1,10,9400,0.073,<0.045,<0.0034,0.38,0.0065,0.2,0.17,0.042,0.5,0.16,1.4,0.57,2.7,0.66,5.7,1.1,290,0.03,0.17,1.9,2.5,0.41,17,110,0.35,0.068,6.1,0.002,0.034,0.0053,0.045,0.0034,0.0048,0.00074,0.061,0.01,0.0082,0.032,0.0036,0.0057,0.0061,0.0062,0.0053,0.029,0.0047,0.024,0.0056,0.025,0.0019,0.0029
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190938_027_QVC19CN083_3_18,Zrc,QVC19CN083_3_18,190938_027_QVC19CN083_3_18_Zrc,,,30,7,3.5,LODE_zrc,20,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.063,0.014,0.00905,0.00043,-0.32946,0.052,0.013,61,13,58.1,2.8,100,450,2.27,153000,258,<130,12.6,0.98,<8.2,918,473000,0.983,<0.034,0.0071,13.46,0.117,2.09,4.54,0.82,23.3,6.81,84.2,30,144.4,30,290,52.5,9990,0.356,4.67,124.3,139.3,0.6,25,<130,1.4,0.14,<8.2,34,22000,0.083,<0.034,0.0052,0.63,0.019,0.43,0.5,0.098,1.7,0.32,4.6,1.1,6.1,1.5,17,2.8,470,0.041,0.33,7.4,7.4,0.5,25,130,0.45,0.085,8.2,0.004,0.067,0.0039,0.034,0.0017,0.0083,0.0029,0.084,0.02,0.012,0.044,0.0027,0.011,0.0055,0.012,0.0052,0.033,0.0065,0.027,0.005,0.038,0.0073,0.0035
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190962_051_QVC19CN083_3_33,Zrc,QVC19CN083_3_33,190962_051_QVC19CN083_3_33_Zrc,Rim,83-8,30,7,3.5,LODE_zrc,59,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.064,0.012,0.01003,0.00043,-0.059952,0.0478,0.0089,63,11,64.3,2.7,-110,320,0.82,153000,216,<110,12.63,0.481,<6.5,483.6,471500,0.853,<0.04,0.00074,10.41,0.0344,0.76,1.86,0.376,10.21,3.27,41.5,15.41,75.1,15.89,152.8,30.75,10100,0.272,3.37,65.3,84.6,0.3,13,<110,0.78,0.064,<6.5,9.7,8900,0.057,<0.04,0.00098,0.33,0.0067,0.15,0.19,0.043,0.41,0.14,1.5,0.5,2.2,0.56,4.7,0.9,280,0.025,0.18,2.1,2.6,0.37,20,110,0.39,0.071,6.5,0.0016,0.026,0.0015,0.04,0.00068,0.0054,0.0023,0.014,0.024,0.0023,0.044,0.0032,0.014,0.0011,0.015,0.0032,0.026,0.0033,0.025,0.0031,0.019,0.0075,0.0024
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190960_049_QVC19CN083_3_32,Zrc,QVC19CN083_3_32,190960_049_QVC19CN083_3_32_Zrc,Core,83-8,30,7,3.5,LODE_zrc,25,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.053,0.014,0.00964,0.00054,-0.085646,0.041,0.012,52,13,61.9,3.5,-320,430,0.52,153000,162,<120,12.7,0.63,<7.8,542,476000,0.67,<0.08,<0.0036,8.49,0.04,0.91,2.19,0.46,12.5,4.02,48.7,18,84.8,18.1,173,32.2,10420,0.225,2.91,55.3,81.2,0.31,20,<120,1.1,0.11,<7.8,40,19000,0.078,<0.08,<0.0036,0.44,0.012,0.27,0.33,0.071,1.4,0.4,3.9,1.5,6.8,1.3,11,2.1,490,0.039,0.23,4.2,5.4,0.43,22,120,0.45,0.079,7.8,0.0069,0.054,0.0093,0.08,0.0036,0.006,0.0031,0.093,0.035,0.0049,0.015,0.0046,0.0092,0.0023,0.0099,0.0022,0.014,0.0058,0.024,0.0067,0.025,0.0088,0.0028
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190920_009_QVC19CN083_3_4,Zrc,QVC19CN083_3_4,190920_009_QVC19CN083_3_4_Zrc,Rim,83-1,30,7,3.5,LODE_zrc,19,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.069,0.021,0.00921,0.00073,0.55087,0.053,0.014,67,20,59.1,4.7,130,510,87,153000,192,<160,12.8,0.264,41,536,479000,1.27,1.12,0.037,13.8,0.05,0.54,1.72,0.35,10.38,3.49,44.9,17.4,87.2,18.9,186,36.1,10880,0.383,4.32,90.2,124.3,44,27,<160,2,0.077,23,16,22000,0.14,0.66,0.019,0.8,0.013,0.2,0.42,0.12,0.85,0.24,2.5,1.1,4.8,1,10,1.9,590,0.046,0.27,4.8,6.8,0.61,29,160,0.51,0.1,9.9,0.0089,0.077,0.01,0.09,0.0057,0.0078,0.0039,0.041,0.023,0.018,0.021,0.0081,0.025,0.0032,0.027,0.0031,0.056,0.0032,0.031,0.003,0.045,0.011,0.0045
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191022_111_QVC19CN083_9_25,Zrc,QVC19CN083_9_25,191022_111_QVC19CN083_9_25_Zrc,Rim,83-18,30,7,3.5,LODE_zrc,45,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.08,0.016,0.01011,0.00044,0.22205,0.055,0.01,77,15,64.8,2.8,220,360,10.9,153000,188,<100,12.9,0.406,<5.8,402,489000,0.727,<0.062,0.0019,8.98,0.0242,0.47,1.31,0.245,7.82,2.45,33,12.74,63.6,13.73,136,27.15,11010,0.262,3.02,44.8,79.1,6.9,14,<100,1.1,0.066,<5.8,16,11000,0.06,<0.062,0.0018,0.4,0.0065,0.12,0.18,0.031,0.53,0.13,1.6,0.57,2.4,0.63,6.7,0.91,250,0.031,0.13,1.8,3.1,0.37,18,100,0.39,0.068,5.8,0.0051,0.031,0.0018,0.062,0.00082,0.0045,0.003,0.017,0.0095,0.012,0.023,0.0013,0.018,0.0013,0.023,0.0012,0.022,0.0013,0.022,0.0032,0.027,0.0047,0.0037
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190994_083_QVC19CN083_9_7,Zrc,QVC19CN083_9_7,190994_083_QVC19CN083_9_7_Zrc,,,30,7,3.5,LODE_zrc,22,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.0652,0.0049,0.00985,0.00048,-0.026401,0.0486,0.0046,64,4.7,63.2,3.1,100,190,128,153000,758,<130,13,3.52,<6.9,5070,476000,4.25,0.063,0.091,55.7,0.836,12.6,26.6,4.19,145.6,42.6,505,173.8,772,148.1,1292,230.2,9670,0.948,27.1,1228,752,43,38,<130,1.3,0.3,<6.9,150,18000,0.25,0.064,0.018,1.8,0.054,1.2,1.4,0.28,5.5,1.8,16,6.2,27,6.9,63,8.8,420,0.081,1.5,64,43,0.48,22,130,0.4,0.082,6.9,0.0037,0.061,0.0036,0.031,0.0032,0.0032,0.0037,0.066,0.037,0.0055,0.034,0.0025,0.01,0.0062,0.023,0.0024,0.038,0.0025,0.035,0.0023,0.03,0.0034,0.0036
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191103_192_QVC19CN083_12_31,Zrc,QVC19CN083_12_31,191103_192_QVC19CN083_12_31_Zrc,Middle,83-27,30,7,3.5,LODE_zrc,31,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.056,0.016,0.00915,0.00071,-0.12839,0.043,0.012,55,15,58.7,4.5,-180,470,<0.43,153000,167,<98,13,0.395,<6.3,541,492000,0.556,<0.054,<0.0028,8.38,0.0211,0.54,1.51,0.359,10.9,3.44,44.1,16.8,84.2,17.8,166,33.3,10830,0.2,2.24,53.4,66.1,<0.43,16,<98,1.2,0.083,<6.3,54,15000,0.061,<0.054,<0.0028,0.36,0.0064,0.17,0.27,0.079,1.6,0.39,4.9,1.8,8.1,1.5,14,2.6,330,0.023,0.21,6.4,4.1,0.43,18,98,0.38,0.079,6.3,0.0028,0.047,0.0028,0.054,0.0028,0.0057,0.0034,0.071,0.046,0.0097,0.03,0.0019,0.026,0.0055,0.0086,0.0019,0.034,0.0063,0.022,0.0058,0.028,0.0085,0.0037
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190998_087_QVC19CN083_9_10,Zrc,QVC19CN083_9_10,190998_087_QVC19CN083_9_10_Zrc,Rim,83-13,30,7,3.5,LODE_zrc,31,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.073,0.017,0.00907,0.0005,0.21658,0.058,0.013,71,16,58.2,3.2,240,440,189,153000,187,300,13,0.88,260,471.6,462400,1.044,0.128,0.021,10.67,0.054,0.53,1.3,0.231,7.9,2.71,36.32,14.76,77.6,16.93,165.5,36.09,11410,0.417,3.9,56.1,108,80,17,170,3.7,0.28,110,7.5,7900,0.099,0.088,0.011,0.33,0.015,0.15,0.22,0.054,0.48,0.12,0.98,0.52,2.3,0.53,4.1,0.89,270,0.048,0.23,1.5,3.6,0.48,23,120,0.43,0.082,7.5,0.0072,0.15,0.0031,0.074,0.0014,0.0063,0.0037,0.028,0.016,0.0047,0.033,0.0059,0.0089,0.0022,0.0096,0.0059,0.043,0.0061,0.035,0.0078,0.031,0.0029,0.0036
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190948_037_QVC19CN083_3_22,Zrc,QVC19CN083_3_22,190948_037_QVC19CN083_3_22_Zrc,Core,83-5,30,7,3.5,LODE_zrc,59,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.0574,0.0082,0.0093,0.00032,-0.017134,0.0439,0.0061,56.2,7.8,59.6,2,-110,250,<0.41,153000,209,<110,13.15,0.5,<6.6,1076,460500,0.718,<0.063,0.003,12.4,0.155,2.54,6.04,1.11,29.3,8.46,101.2,35.41,165.6,32.43,292.9,56.9,10270,0.275,4.09,122.5,111.6,<0.41,11,<110,0.98,0.065,<6.6,21,8700,0.053,<0.063,0.0021,0.35,0.024,0.36,0.5,0.1,1.1,0.26,2.7,0.8,3.8,0.8,7.1,1.5,250,0.028,0.17,3.5,2.7,0.41,21,110,0.37,0.071,6.6,0.0016,0.027,0.0049,0.063,0.0028,0.0014,0.0024,0.014,0.032,0.0024,0.0075,0.0033,0.0046,0.0035,0.025,0.0049,0.0069,0.0044,0.0056,0.0041,0.027,0.0059,0.0025
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191068_157_QVC19CN083_12_7,Zrc,QVC19CN083_12_7,191068_157_QVC19CN083_12_7_Zrc,,,30,7,3.5,LODE_zrc,62,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.054,0.01,0.00977,0.00035,-0.13175,0.0415,0.0081,52.8,9.9,62.7,2.2,-320,310,1.33,153000,230,<99,13.18,0.392,<5.7,518.4,478400,0.873,<0.05,<0.002,9.73,0.0403,0.88,1.8,0.369,10.69,3.38,42.9,16.11,79,16.82,160.7,32.6,10360,0.314,3.35,66.4,88.3,0.29,11,<99,0.85,0.06,<5.7,9.5,9700,0.055,<0.05,<0.002,0.35,0.0077,0.17,0.17,0.04,0.41,0.12,1.1,0.4,1.9,0.4,3.9,0.68,220,0.026,0.14,2,2.8,0.36,17,99,0.35,0.065,5.7,0.0047,0.025,0.0014,0.05,0.002,0.0013,0.0022,0.013,0.023,0.009,0.032,0.0031,0.026,0.0032,0.03,0.004,0.02,0.001,0.021,0.00094,0.023,0.0065,0.0029
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191102_191_QVC19CN083_12_30,Zrc,QVC19CN083_12_30,191102_191_QVC19CN083_12_30_Zrc,Core,83-27,30,7,3.5,LODE_zrc,20,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.063,0.02,0.00978,0.00053,0.11412,0.047,0.015,62,18,62.7,3.4,-130,490,<0.5,153000,187,<150,13.2,0.46,<7.4,785,472000,0.63,<0.037,<0.006,9.92,0.043,1.04,2.75,0.6,18.1,5.75,70.9,26,126,24.4,233,44.7,10580,0.21,3.32,86.3,87.9,<0.5,19,<150,1.4,0.1,<7.4,71,18000,0.082,<0.037,<0.006,0.54,0.017,0.33,0.68,0.12,2.4,0.71,8.4,2.7,11,2.1,20,3.6,430,0.036,0.25,8.7,5.1,0.5,22,150,0.46,0.091,7.4,0.0044,0.074,0.01,0.037,0.006,0.0092,0.0038,0.077,0.022,0.013,0.02,0.0079,0.013,0.006,0.032,0.0098,0.05,0.003,0.03,0.0055,0.03,0.011,0.0035
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191082_171_QVC19CN083_12_18,Zrc,QVC19CN083_12_18,191082_171_QVC19CN083_12_18_Zrc,,,30,7,3.5,LODE_zrc,16,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.067,0.017,0.00944,0.00082,0.056075,0.051,0.013,65,16,60.6,5.3,120,470,5.5,153000,231,<130,13.3,0.342,<7.5,611,481000,0.683,<0.041,<0.0057,8.01,0.073,1.45,2.94,0.69,14.9,4.44,53.2,19.4,94.1,19.1,179,34.5,9740,0.205,2.22,48.4,63.8,0.95,18,<130,1.7,0.076,<7.5,30,23000,0.063,<0.041,<0.0057,0.48,0.017,0.34,0.57,0.1,1.3,0.32,2.7,1.2,5.6,0.79,10,1.8,460,0.043,0.21,3.5,3.4,0.48,21,130,0.51,0.097,7.5,0.0049,0.15,0.0048,0.041,0.0057,0.0079,0.0033,0.08,0.054,0.016,0.041,0.0072,0.03,0.0074,0.033,0.0033,0.038,0.0034,0.075,0.0083,0.034,0.0099,0.0042
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191043_132_QVC19CN083_9_38,Zrc,QVC19CN083_9_38,191043_132_QVC19CN083_9_38_Zrc,Middle,83-19,30,7,3.5,LODE_zrc,49,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.063,0.012,0.00978,0.00038,-0.25673,0.048,0.01,61,12,62.7,2.4,-50,360,<0.38,153000,238,<110,13.5,0.432,<6.2,580,476000,0.845,<0.043,0.0037,10.04,0.0541,0.96,2.36,0.428,13.28,4.06,49.1,18.01,88.2,18.13,172.3,34.33,10110,0.276,3.25,71.7,85.1,<0.38,10,<110,1.1,0.067,<6.2,11,11000,0.066,<0.043,0.0025,0.31,0.0096,0.22,0.21,0.048,0.63,0.17,1.3,0.41,2.5,0.51,4.6,0.92,250,0.024,0.14,2,2.3,0.38,18,110,0.38,0.072,6.2,0.0051,0.03,0.0018,0.043,0.0036,0.0016,0.0031,0.045,0.0092,0.0077,0.0084,0.005,0.0052,0.0045,0.0056,0.005,0.027,0.0013,0.022,0.0058,0.026,0.006,0.0035
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191089_178_QVC19CN083_12_24,Zrc,QVC19CN083_12_24,191089_178_QVC19CN083_12_24_Zrc,Core,83-25,30,7,3.5,LODE_zrc,10,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.055,0.025,0.0099,0.0012,-0.49259,0.044,0.021,54,24,63.4,7.9,-220,810,5.2,153000,346,<180,13.7,0.62,<8.9,798,479000,0.92,<0.11,0.01,10.22,0.081,1.9,3.05,0.702,16.8,5.5,68.5,25.4,124.1,25.9,263,48.9,9730,0.325,4.31,83.5,117.6,1.3,26,<180,1.8,0.13,<8.9,35,30000,0.12,<0.11,0.011,0.36,0.024,0.79,0.75,0.094,1.2,0.31,4.2,1.5,7.1,1.3,18,2.3,380,0.086,0.51,4.8,6.2,0.64,25,180,0.61,0.095,8.9,0.0079,0.13,0.0077,0.11,0.0071,0.013,0.0069,0.07,0.064,0.012,0.076,0.0086,0.042,0.012,0.045,0.011,0.08,0.01,0.027,0.0095,0.041,0.012,0.0056
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191042_131_QVC19CN083_9_37,Zrc,QVC19CN083_9_37,191042_131_QVC19CN083_9_37_Zrc,Core,83-19,30,7,3.5,LODE_zrc,68,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.0623,0.0077,0.00964,0.00028,0.25225,0.048,0.0062,60.9,7.4,61.8,1.8,30,240,1.43,153000,242,<99,13.72,1.49,<5.5,953,485900,0.72,0.013,0.0095,11.35,0.167,3.3,6.25,1.13,26.5,7.6,88.7,30.7,145.5,29.7,271.4,52.2,10210,0.29,5.45,104.3,142,0.41,11,<99,0.88,0.1,<5.5,39,9300,0.057,0.016,0.0038,0.39,0.02,0.41,0.5,0.1,1.7,0.44,4.1,1.3,5.6,1.1,9.5,1.5,240,0.028,0.55,4.3,11,0.34,17,99,0.31,0.062,5.5,0.0013,0.022,0.0043,0.011,0.00057,0.0039,0.0016,0.039,0.0066,0.002,0.026,0.00088,0.0037,0.00091,0.017,0.0044,0.024,0.00091,0.0046,0.0036,0.021,0.0062,0.0037
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,190922_011_QVC19CN083_3_5,Zrc,QVC19CN083_3_5,190922_011_QVC19CN083_3_5_Zrc,,,30,7,3.5,LODE_zrc,28,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.059,0.011,0.00973,0.0005,0.35973,0.0434,0.0081,58,11,62.4,3.2,-170,330,1.45,153000,200,<130,13.8,0.412,<8.2,451,482000,1.118,<0.026,<0.003,10.87,0.03,0.36,1.26,0.227,8.78,2.77,37.1,14.15,71.2,16.06,159.7,30.5,10660,0.45,5.71,69.7,157.7,0.44,21,<130,1.6,0.093,<8.2,16,18000,0.086,<0.026,<0.003,0.51,0.011,0.12,0.24,0.041,0.53,0.18,1.7,0.74,3.1,0.9,8.6,1.4,510,0.05,0.43,3.8,8.1,0.49,25,130,0.43,0.081,8.2,0.0031,0.052,0.003,0.026,0.003,0.01,0.0039,0.074,0.034,0.017,0.039,0.0046,0.0088,0.0021,0.0095,0.0021,0.035,0.0089,0.037,0.0054,0.032,0.0088,0.005
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191078_167_QVC19CN083_12_15,Zrc,QVC19CN083_12_15,191078_167_QVC19CN083_12_15_Zrc,,,30,7,3.5,LODE_zrc,71,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.068,0.011,0.00959,0.00033,-0.30857,0.0522,0.0086,66,9.9,61.5,2.1,80,300,0.4,153000,246.9,<93,13.86,0.405,<5.3,555,481200,0.818,<0.035,<0.0024,10.32,0.0429,0.86,2.18,0.39,11.36,3.71,47.2,17.33,86.3,17.95,177,34.91,10370,0.315,3.37,67.1,91.4,0.17,8.4,<93,0.91,0.052,<5.3,13,9400,0.05,<0.035,<0.0024,0.31,0.006,0.17,0.2,0.045,0.48,0.14,1.6,0.59,2.4,0.61,6.3,0.9,260,0.024,0.14,1.8,2.2,0.34,15,93,0.31,0.059,5.3,0.0012,0.021,0.0012,0.035,0.0024,0.0037,0.0024,0.038,0.027,0.0082,0.0057,0.0028,0.0035,0.0038,0.0038,0.00082,0.023,0.0029,0.0043,0.0035,0.019,0.0012,0.0025
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191075_164_QVC19CN083_12_13,Zrc,QVC19CN083_12_13,191075_164_QVC19CN083_12_13_Zrc,Core,83-24,30,7,3.5,LODE_zrc,36,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.062,0.012,0.00981,0.00038,0.070868,0.0457,0.0091,60,12,63,2.4,-120,350,<0.49,153000,313,<120,14.1,0.392,<7.4,660,468400,0.839,<0.023,<0.0062,13.19,0.064,1.39,2.81,0.522,14.99,4.56,57.5,20.89,100.5,21.33,199.2,40.4,9980,0.259,4.75,105.9,121.9,<0.49,20,<120,1.1,0.081,<7.4,16,9900,0.078,<0.023,<0.0062,0.4,0.013,0.26,0.29,0.067,0.71,0.18,2,0.66,3.4,0.71,6.3,1.3,250,0.035,0.21,4.3,3.9,0.49,20,120,0.38,0.084,7.4,0.0027,0.045,0.0026,0.023,0.0062,0.0058,0.001,0.073,0.033,0.012,0.03,0.0076,0.0077,0.0084,0.025,0.0044,0.044,0.0019,0.028,0.0042,0.028,0.0076,0.0041
2,QVC19CN-083,Yarabamba IIa,Yarabamba Granodiorite,Batholith,190912,191018_107_QVC19CN083_9_22,Zrc,QVC19CN083_9_22,191018_107_QVC19CN083_9_22_Zrc,,,30,7,3.5,LODE_zrc,59,61.51,0.55,1.35,N,0.82,65.09,1.52,166,0.0634,0.0088,0.00953,0.00028,-0.19631,0.0494,0.0074,61.9,8.3,61.2,1.8,0,260,2.66,153000,308,<96,14.14,1.64,<6,1466,476600,0.898,<0.041,0.0225,13.12,0.263,4.22,7.52,1.61,37.6,11.07,132.9,47.2,220.8,43.8,396,77.3,9430,0.318,5.82,181.1,158.1,0.49,13,<96,0.91,0.18,<6,51,7900,0.054,<0.041,0.0045,0.48,0.018,0.38,0.47,0.13,1.9,0.54,6,1.9,8.6,1.6,15,2.9,180,0.028,0.21,8.6,6,0.39,18,96,0.37,0.063,6,0.0016,0.1,0.0048,0.041,0.00069,0.0091,0.00058,0.043,0.008,0.0024,0.029,0.0049,0.0045,0.0011,0.015,0.0011,0.027,0.0011,0.0055,0.004,0.023,0.0045,0.0022
