Filename,Rank,Sample,Unit,Type,Annealed,Probe #,P2O5,Na2O,SiO2,Al2O3,K2O,SO3,MnO,FeO,CaO,Cl,MgO,F ,Total,,P apfu,Na apfu,Si apfu,S apfu,Mn apfu,Fe apfu,Ca apfu,Cl apfu,Mg apfu,F apfu,est OH apfu,,O=F,O=Cl,,Corrected Total,Est OH (wt.%),Net Corrected Total
201026_P23982_AP11_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Feb,41.23,0.09,0.2,-0.02,0,0,0.12,0.32,53.97,2.61,0.01,1.39,100.96,,5.64,0.03,0.03,0,0.02,0.04,9.34,0.71,0,0.71,0.58,,0.59,0.59,,99.79,1,100.78
201026_P23982_AP11_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Mar,40.91,0.1,0.2,0,0,0.03,0.14,0.36,53.92,2.58,0.01,1.44,100.7,,5.61,0.03,0.03,0,0.02,0.05,9.36,0.71,0,0.74,0.55,,0.61,0.58,,99.51,0.96,100.47
201026_P23982_AP11_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Apr,41.24,0.09,0.22,-0.02,0.01,0.02,0.15,0.35,53.93,2.74,0.01,1.31,101.04,,5.64,0.03,0.04,0,0.02,0.05,9.33,0.75,0,0.67,0.58,,0.55,0.62,,99.87,1.01,100.88
201026_P23982_AP12_and_AP13_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,39.44,0.11,0.96,-0.01,0,0.01,0.16,0.26,52.11,2.81,-0.01,1.11,99.46,,5.57,0.04,0.16,0,0.02,0.04,9.31,0.79,0,0.59,0.62,,0.47,0.63,,98.36,1.08,99.43
201026_P23982_AP12_and_AP13_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Feb,41.27,0.09,0.28,-0.01,0,0,0.14,0.32,53.71,2.97,0,1.15,100.94,,5.65,0.03,0.05,0,0.02,0.04,9.31,0.81,0,0.59,0.6,,0.48,0.67,,99.79,1.04,100.82
201026_P23982_AP15_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,40.63,0.04,0.27,-0.02,0,0,0.15,0.25,53.78,3.01,0,1.21,100.55,,5.61,0.01,0.04,0,0.02,0.03,9.39,0.83,0,0.62,0.55,,0.51,0.68,,99.36,0.94,100.31
201026_P23982_AP16_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,39.43,0.12,0.87,-0.02,0,0.01,0.15,0.21,52.93,3.01,0.01,1.01,100.02,,5.54,0.04,0.14,0,0.02,0.03,9.41,0.85,0,0.53,0.62,,0.43,0.68,,98.92,1.08,99.99
201026_P23982_AP17_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,39.52,0.1,0.89,0.04,0,0,0.18,0.87,52.45,3.03,0.03,1.06,100.3,,5.53,0.03,0.15,0,0.03,0.12,9.29,0.85,0.01,0.55,0.6,,0.45,0.68,,99.17,1.03,100.2
201026_P23982_AP19_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,39.14,0.1,0.75,-0.01,0.01,0.01,0.11,0.48,52.71,2.87,0,1.21,99.57,,5.52,0.03,0.12,0,0.02,0.07,9.41,0.81,0,0.64,0.55,,0.51,0.65,,98.41,0.96,99.37
201026_P23988_AP01_01_Qti,4,QVC083,Toquepala Granodiorite,Groundmass,NA,01-Feb,41.41,0.02,0.43,0.1,0.01,0.02,0.06,0.05,54.86,0.73,0.02,3.03,101.29,,5.53,0.01,0.07,0,0.01,0.01,9.27,0.2,0,1.51,0.29,,1.28,0.16,,99.85,0.52,100.37
