Filename,Rank,Sample,Unit,Type,Annealed,Probe #,P2O5,Na2O,SiO2,Al2O3,K2O,SO3,MnO,FeO,CaO,Cl,MgO,F ,Total,,P apfu,Na apfu,Si apfu,S apfu,Mn apfu,Fe apfu,Ca apfu,Cl apfu,Mg apfu,F apfu,est OH apfu,,O=F,O=Cl,,Corrected Total,Est OH (wt.%),Net Corrected Total
201027_P23983_AP16_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,42.04,0.06,0.04,-0.02,0,0.05,0.51,0.23,54.63,0.47,0.06,2.82,101.15,,5.63,0.02,0.01,0.01,0.07,0.03,9.25,0.13,0.01,1.41,0.46,,1.19,0.11,,99.86,0.82,100.67
201027_P23983_AP19_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,42.18,0.07,0.04,-0.02,0.01,0.05,0.64,0.26,54.42,0.65,0.07,2.82,101.43,,5.63,0.02,0.01,0.01,0.09,0.03,9.19,0.17,0.02,1.4,0.42,,1.19,0.15,,100.1,0.74,100.84
201027_P23983_AP20_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,42.05,0.12,0.02,0,0,0.03,0.64,0.6,54.3,0.61,0.07,3,101.85,,5.59,0.04,0,0,0.09,0.08,9.14,0.16,0.02,1.49,0.35,,1.26,0.14,,100.45,0.61,101.06
201027_P23983_AP21_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.93,0.09,0.08,0,0,0.09,0.55,0.37,54.37,0.53,0.06,3.25,101.72,,5.56,0.03,0.01,0.01,0.07,0.05,9.13,0.14,0.01,1.61,0.25,,1.37,0.12,,100.23,0.44,100.67
201027_P23983_AP21_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Feb,41.06,0.54,3.09,0.96,0.09,0.05,0.15,0.29,52.71,0.13,0,3.79,103.18,,5.28,0.16,0.47,0.01,0.02,0.04,8.58,0.03,0,1.82,0.15,,1.6,0.03,,101.55,0.26,101.82
201027_P23983_AP22_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.96,0.01,0.07,0,0.03,0.03,0.51,0.43,54.18,0.68,0.08,2.67,101.03,,5.64,0,0.01,0,0.07,0.06,9.21,0.18,0.02,1.34,0.48,,1.12,0.15,,99.75,0.84,100.59
201027_P23983_AP23_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.77,0.09,0.04,0.03,-0.01,0.03,0.54,0.49,54.51,0.45,0.05,2.94,101.18,,5.59,0.03,0.01,0,0.07,0.06,9.24,0.12,0.01,1.47,0.41,,1.24,0.1,,99.84,0.72,100.56
201027_P23983_AP24_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Jan,41.85,0.07,0.01,-0.02,0,0.09,0.49,0.35,55.11,0.38,0.05,2.88,101.56,,5.59,0.02,0,0.01,0.07,0.05,9.32,0.1,0.01,1.44,0.46,,1.21,0.09,,100.26,0.81,101.07
201027_P23983_AP24_01_Qti,10,QVC024,Intermineral Monzonite,Groundmass,NA,01-Feb,42.03,0.03,0.03,-0.01,0.01,0.06,0.49,0.42,54.58,0.42,0.06,2.75,101.11,,5.63,0.01,0,0.01,0.07,0.06,9.26,0.11,0.01,1.38,0.51,,1.16,0.09,,99.86,0.9,100.75
201027_P23991_A17_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.35,0.08,0.02,-0.02,0,0.08,0.94,0.36,54.1,0.69,0.07,2.64,100.77,,5.59,0.02,0,0.01,0.13,0.05,9.26,0.19,0.02,1.33,0.48,,1.11,0.16,,99.5,0.84,100.34
201027_P23991_A23_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.79,0.12,0.02,0,0.01,0.06,1.06,0.32,53.79,0.53,0.06,2.69,100.84,,5.63,0.04,0,0.01,0.14,0.04,9.17,0.14,0.01,1.35,0.5,,1.13,0.12,,99.59,0.88,100.47
201027_P23991_AP01_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,36.35,0.06,3.48,2.53,0.01,0.04,0.7,3.18,46.87,0.11,2.82,2.39,98.69,,5,0.02,0.57,0,0.1,0.43,8.16,0.03,0.68,1.23,0.74,,1.01,0.02,,97.66,1.3,98.95
201027_P23991_AP01_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Feb,41.8,0.13,0.07,-0.03,0,0.1,0.77,0.32,54.2,0.55,0.05,2.73,101.2,,5.62,0.04,0.01,0.01,0.1,0.04,9.22,0.15,0.01,1.37,0.48,,1.15,0.12,,99.93,0.85,100.77
201027_P23991_AP01_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Mar,41.88,0.11,0.05,-0.01,0,0.08,0.68,0.26,54.49,0.47,0.05,2.8,101.33,,5.61,0.03,0.01,0.01,0.09,0.03,9.24,0.13,0.01,1.4,0.47,,1.18,0.11,,100.04,0.83,100.87
201027_P23991_AP01_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Apr,42.29,0.08,0.03,0,0,0.05,0.73,0.23,54.42,0.32,0.05,2.82,101.36,,5.65,0.02,0,0.01,0.1,0.03,9.2,0.09,0.01,1.41,0.51,,1.19,0.07,,100.1,0.89,100.99
201027_P23991_AP02_Transect_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,6.79,0.09,26.98,18.64,2.69,0.01,1.01,13.08,7.35,0.1,11.44,0.1,88.38,,1.02,0.03,4.81,0,0.15,1.95,1.4,0.03,3.04,0.06,1.91,,0.04,0.02,,88.32,3.33,91.64
201027_P23991_AP02_Transect_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Feb,41.86,0.05,0.07,0,-0.01,0.09,0.86,0.35,54.01,0.52,0.07,2.84,101.16,,5.61,0.02,0.01,0.01,0.12,0.05,9.17,0.14,0.02,1.42,0.44,,1.2,0.12,,99.85,0.77,100.62
201027_P23991_AP02_Transect_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Mar,41.73,0.14,0.09,0,0,0.11,0.78,0.37,54.06,0.58,0.07,2.88,101.36,,5.59,0.04,0.01,0.01,0.1,0.05,9.17,0.16,0.02,1.44,0.4,,1.21,0.13,,100.02,0.71,100.73
201027_P23991_AP02_Transect_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Apr,41.78,0.08,0.1,-0.02,0,0.09,0.79,0.37,53.88,0.56,0.09,2.8,101.07,,5.61,0.02,0.02,0.01,0.11,0.05,9.16,0.15,0.02,1.41,0.44,,1.18,0.13,,99.76,0.78,100.55
201027_P23991_AP02_Transect_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-May,41.79,0.1,0.86,0.22,0.22,0.1,0.83,0.41,52.93,0.56,0.08,2.64,101.44,,5.59,0.03,0.14,0.01,0.11,0.05,8.96,0.15,0.02,1.32,0.53,,1.11,0.13,,100.2,0.93,101.14
201027_P23991_AP03_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42,0.08,0.02,-0.01,0,0.03,0.64,0.24,54.71,0.35,0.06,3.03,101.49,,5.6,0.02,0,0,0.09,0.03,9.23,0.09,0.01,1.51,0.4,,1.28,0.08,,100.14,0.7,100.84
201027_P23991_AP03_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Feb,41.63,0.11,0.08,-0.01,0,0.06,0.68,0.25,54.81,0.41,0.04,3.15,101.61,,5.55,0.03,0.01,0.01,0.09,0.03,9.25,0.11,0.01,1.57,0.32,,1.33,0.09,,100.19,0.57,100.76
201027_P23991_AP05_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.3,0.12,0,-0.03,0.01,0.1,0.55,0.31,54.54,0.48,0.06,2.71,100.54,,5.59,0.04,0,0.01,0.07,0.04,9.34,0.13,0.01,1.37,0.5,,1.14,0.11,,99.29,0.88,100.17
201027_P23991_AP06_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42.51,0.11,0.04,-0.02,0.01,0.04,0.41,0.15,54.85,0.31,0.07,2.85,101.77,,5.66,0.03,0.01,0,0.05,0.02,9.23,0.08,0.02,1.42,0.5,,1.2,0.07,,100.5,0.88,101.38
201027_P23991_AP07_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42.03,0.03,0.03,-0.02,0,0.04,0.75,0.14,54.9,0.32,0.02,3.2,101.64,,5.58,0.01,0,0,0.1,0.02,9.23,0.09,0,1.59,0.33,,1.35,0.07,,100.22,0.58,100.8
201027_P23991_AP08_and_AP19_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.34,0.1,0.06,0.01,0.02,0.04,0.96,0.23,54.33,0.38,0.04,2.73,100.58,,5.59,0.03,0.01,0,0.13,0.03,9.31,0.1,0.01,1.38,0.52,,1.15,0.09,,99.34,0.9,100.25
201027_P23991_AP08_and_AP19_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Feb,41.93,0.07,0.04,-0.04,0.02,0.02,0.96,0.31,53.72,0.52,0.06,2.62,100.62,,5.66,0.02,0.01,0,0.13,0.04,9.18,0.14,0.01,1.32,0.54,,1.1,0.12,,99.4,0.94,100.34
201027_P23991_AP08_and_AP19_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Mar,41.71,0.07,0.02,0.01,0,0.07,0.93,0.33,53.96,0.45,0.05,2.73,100.69,,5.63,0.02,0,0.01,0.13,0.04,9.21,0.12,0.01,1.38,0.5,,1.15,0.1,,99.44,0.88,100.32
201027_P23991_AP09_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42.15,0.11,0.03,-0.02,0,0.02,1.01,0.33,54.01,0.59,0.07,3.07,101.78,,5.6,0.03,0,0,0.13,0.04,9.09,0.16,0.02,1.52,0.32,,1.29,0.13,,100.35,0.56,100.92
201027_P23991_AP10_01__Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.49,0.07,0.06,-0.04,0.01,0.07,0.99,0.36,53.97,0.68,0.07,2.84,101.02,,5.58,0.02,0.01,0.01,0.13,0.05,9.19,0.18,0.02,1.43,0.39,,1.2,0.15,,99.67,0.68,100.36
201027_P23991_AP11_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42.1,0.09,0.04,-0.03,0.01,0.07,0.71,0.21,54.37,0.38,0.03,3,101.46,,5.62,0.03,0.01,0.01,0.09,0.03,9.18,0.1,0.01,1.5,0.4,,1.26,0.09,,100.11,0.71,100.82
201027_P23991_AP11_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Feb,41.57,0.09,0.35,0.05,0.2,0.03,0.94,0.23,54.4,0.45,0.05,3.05,101.7,,5.54,0.03,0.06,0,0.13,0.03,9.18,0.12,0.01,1.52,0.36,,1.28,0.1,,100.31,0.64,100.95
201027_P23991_AP12_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42.2,0.08,0.04,-0.02,0,0.01,0.69,0.21,54.47,0.35,0.03,2.9,101.21,,5.64,0.02,0.01,0,0.09,0.03,9.21,0.09,0.01,1.45,0.46,,1.22,0.08,,99.91,0.81,100.72
201027_P23991_AP13_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42.01,0.11,0.04,-0.01,0.05,0.06,0.9,0.26,54.15,0.56,0.05,2.54,101.01,,5.65,0.03,0.01,0.01,0.12,0.03,9.22,0.15,0.01,1.28,0.57,,1.07,0.13,,99.81,1,100.82
201027_P23991_AP14_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42.29,0.12,0.03,-0.02,0,0.08,0.62,0.34,54.73,0.55,0.07,2.94,102.12,,5.61,0.04,0,0.01,0.08,0.04,9.18,0.15,0.02,1.46,0.4,,1.24,0.12,,100.76,0.7,101.46
201027_P23991_AP14_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Feb,41.99,0.09,0.05,0.02,0,0.05,0.68,0.42,54.62,0.41,0.06,3.01,101.73,,5.59,0.03,0.01,0.01,0.09,0.06,9.2,0.11,0.01,1.5,0.39,,1.27,0.09,,100.37,0.69,101.06
201027_P23991_AP15_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42.03,0.07,0.02,0,0.01,0.05,0.82,0.35,54.45,0.48,0.05,2.82,101.48,,5.62,0.02,0,0.01,0.11,0.05,9.21,0.13,0.01,1.41,0.46,,1.19,0.11,,100.18,0.81,101
201027_P23991_AP16_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.62,0.13,0.1,0,0.01,0.17,0.82,0.31,54.15,0.53,0.05,2.65,100.92,,5.61,0.04,0.02,0.02,0.11,0.04,9.23,0.14,0.01,1.33,0.52,,1.12,0.12,,99.68,0.92,100.6
201027_P23991_AP18_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.43,0.11,0.02,-0.02,0,0.03,1.06,0.4,53.71,0.59,0.07,2.58,100.44,,5.62,0.03,0,0,0.14,0.05,9.23,0.16,0.02,1.31,0.53,,1.09,0.13,,99.22,0.93,100.15
201027_P23991_AP18_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Feb,41.43,0.12,0.03,0,0,0.11,1.1,0.38,53.77,0.63,0.06,2.62,100.68,,5.61,0.04,0,0.01,0.15,0.05,9.21,0.17,0.01,1.32,0.51,,1.1,0.14,,99.43,0.88,100.32
201027_P23991_AP20_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.39,0.03,0.04,-0.02,0.01,0.05,0.68,0.12,54.75,0.25,0.02,2.87,100.55,,5.59,0.01,0.01,0.01,0.09,0.02,9.36,0.07,0,1.45,0.48,,1.21,0.06,,99.29,0.85,100.13
201027_P23991_AP21_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.04,0.08,0.09,-0.01,0,0.11,0.77,0.37,53.86,0.45,0.07,3.07,100.34,,5.55,0.02,0.01,0.01,0.1,0.05,9.21,0.12,0.02,1.55,0.33,,1.29,0.1,,98.95,0.58,99.53
201027_P23991_AP24_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,41.63,0.13,0.04,-0.03,-0.01,0.12,0.81,0.26,54.16,0.57,0.03,2.7,100.86,,5.61,0.04,0.01,0.01,0.11,0.03,9.24,0.15,0.01,1.36,0.49,,1.14,0.13,,99.59,0.85,100.45
201027_P23991_AP25_01_Qti,9,QVC060,Intermineral Monzonite,Groundmass,NA,01-Jan,42.43,0.07,0.02,-0.02,0,0.07,0.93,0.3,54.4,0.38,0.04,2.79,101.81,,5.65,0.02,0,0.01,0.12,0.04,9.17,0.1,0.01,1.39,0.51,,1.17,0.09,,100.55,0.9,101.45
201027_P23992_A06_01_Qti,2,QVC082,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.22,0.03,0.05,-0.01,0,0.01,0.05,0.19,55.3,0.59,-0.01,3.1,101.92,,5.59,0.01,0.01,0,0.01,0.02,9.27,0.16,0,1.53,0.31,,1.31,0.13,,100.48,0.55,101.03
201027_P23992_A06_01_Qti,2,QVC082,Granodiorite Porphyry,Groundmass,NA,01-Feb,41.92,0.06,0.06,-0.01,0.01,0,0.09,0.29,55.11,0.85,0.01,2.91,101.82,,5.58,0.02,0.01,0,0.01,0.04,9.29,0.23,0,1.45,0.33,,1.23,0.19,,100.4,0.58,100.98
201027_P23992_A09_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.02,0.07,0.06,-0.03,0,0,0.06,0.1,55.1,0.89,0,2.76,101.73,,5.61,0.02,0.01,0,0.01,0.01,9.31,0.24,0,1.38,0.39,,1.16,0.2,,100.37,0.68,101.05
201027_P23992_A10_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.28,0.08,0.14,-0.02,0,0.01,0.07,0.09,55.14,0.87,0.01,2.92,102.24,,5.6,0.02,0.02,0,0.01,0.01,9.24,0.23,0,1.44,0.32,,1.23,0.2,,100.81,0.57,101.39
201027_P23992_AP01_Transect_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.01,0.01,0.15,-0.01,0.01,0.01,0.06,0.24,55.24,0.8,0.01,2.72,101.61,,5.6,0,0.02,0,0.01,0.03,9.33,0.21,0,1.36,0.43,,1.15,0.18,,100.28,0.76,101.04
201027_P23992_AP01_Transect_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Feb,42.29,0.05,0.04,-0.03,-0.01,-0.01,0.05,0.08,55.47,0.68,0.01,2.87,101.96,,5.62,0.02,0.01,0,0.01,0.01,9.32,0.18,0,1.42,0.4,,1.21,0.15,,100.6,0.7,101.3
201027_P23992_AP01_Transect_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Mar,42.17,0.01,0.09,-0.02,0.01,0,0.06,0.11,55.65,0.74,-0.01,2.58,101.8,,5.63,0,0.01,0,0.01,0.01,9.4,0.2,0,1.29,0.52,,1.09,0.17,,100.55,0.91,101.45
201027_P23992_AP02_Transect_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.96,0.04,0.16,0,-0.01,0.01,0.09,0.28,54.82,0.89,0.01,2.91,101.81,,5.59,0.01,0.03,0,0.01,0.04,9.24,0.24,0,1.45,0.32,,1.23,0.2,,100.38,0.56,100.94
201027_P23992_AP02_Transect_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Feb,42.07,0.08,0.11,-0.03,0.01,0.01,0.07,0.14,55.38,0.91,-0.01,2.81,102.23,,5.59,0.02,0.02,0,0.01,0.02,9.32,0.24,0,1.4,0.36,,1.18,0.21,,100.84,0.64,101.48
201027_P23992_AP02_Transect_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Mar,42.24,0.07,0.14,0,0,-0.01,0.05,0.06,55.63,0.76,0,3,102.41,,5.58,0.02,0.02,0,0.01,0.01,9.3,0.2,0,1.48,0.32,,1.26,0.17,,100.98,0.56,101.54
201027_P23992_AP02_Transect_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Apr,42.42,0,0.02,-0.02,0,0.02,0.02,0.03,56.03,0.2,0,3.44,102.41,,5.57,0,0,0,0,0,9.31,0.05,0,1.69,0.26,,1.45,0.05,,100.92,0.46,101.38
201027_P23992_AP02_Transect_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-May,42.46,-0.01,0.06,-0.02,0.01,0.01,0.04,0.03,56.05,0.35,-0.01,3.26,102.48,,5.58,0,0.01,0,0.01,0,9.33,0.09,0,1.6,0.31,,1.37,0.08,,101.03,0.54,101.57
201027_P23992_AP03_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.02,0.07,0.05,0.01,0,0.01,0.05,0.05,55.67,0.56,0,3,101.84,,5.58,0.02,0.01,0,0.01,0.01,9.36,0.15,0,1.49,0.36,,1.26,0.13,,100.45,0.64,101.09
201027_P23992_AP03_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Feb,41.22,0.08,0.09,0,0,0.01,0.08,0.1,55.5,0.82,0.01,3.06,101.54,,5.51,0.02,0.01,0,0.01,0.01,9.4,0.22,0,1.53,0.25,,1.29,0.19,,100.07,0.44,100.51
201027_P23992_AP05_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.28,0.05,0.03,0,0,0.01,0.07,0.03,55.02,0.96,0,2.79,101.79,,5.62,0.02,0,0,0.01,0,9.26,0.26,0,1.39,0.36,,1.17,0.22,,100.4,0.63,101.03
201027_P23992_AP07_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.13,0.05,0.11,0,-0.01,0,0.07,0.12,54.8,0.87,0,2.91,101.77,,5.61,0.02,0.02,0,0.01,0.02,9.23,0.23,0,1.45,0.32,,1.23,0.2,,100.35,0.57,100.92
201027_P23992_AP08_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,0.02,0.03,30.2,0.75,0,-0.01,0.02,1.14,31.01,0,0.01,0.07,63.91,,0,0.02,7.85,0,0,0.25,8.63,0,0,0.06,1.94,,0.03,0,,63.88,3.24,67.12
201027_P23992_AP11_and_AP04_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.12,0.08,0.08,-0.01,0,-0.04,0.08,0.1,55.1,0.92,-0.01,2.69,101.8,,5.62,0.02,0.01,0,0.01,0.01,9.31,0.25,0,1.34,0.41,,1.13,0.21,,100.46,0.73,101.19
201027_P23992_AP11_and_AP04_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Feb,42.54,0.05,0.05,-0.01,0,0.01,0.06,0.09,55.48,0.77,0.01,2.79,102.37,,5.63,0.02,0.01,0,0.01,0.01,9.29,0.2,0,1.38,0.42,,1.17,0.17,,101.02,0.73,101.76
201027_P23992_AP11_and_AP04_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Mar,42.21,0.06,0.11,0.02,0,-0.01,0.06,0.35,55.08,0.9,-0.01,2.67,102.06,,5.62,0.02,0.02,0,0.01,0.05,9.28,0.24,0,1.33,0.43,,1.12,0.2,,100.73,0.76,101.49
201027_P23992_AP12_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.45,0.08,0.07,0.01,0,0.02,0.08,0.06,54.94,0.79,0,3.23,101.41,,5.53,0.02,0.01,0,0.01,0.01,9.28,0.21,0,1.61,0.18,,1.36,0.18,,99.87,0.32,100.19
201027_P23992_AP13_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.45,-0.01,0.01,-0.01,0,0,0.08,0.03,55.33,0.73,-0.01,3,101.93,,5.62,0,0,0,0.01,0,9.27,0.19,0,1.48,0.32,,1.26,0.16,,100.5,0.57,101.08
201027_P23992_AP14_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42,0.01,0.04,-0.02,0.01,0.01,0.03,0.04,55.71,0.71,-0.02,3.2,102.11,,5.56,0,0.01,0,0,0.01,9.33,0.19,0,1.58,0.23,,1.35,0.16,,100.6,0.41,101.01
201027_P23992_AP15_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.38,0.03,0.02,-0.02,0,0.01,0.06,0.09,55.76,0.61,-0.01,3.31,102.6,,5.57,0.01,0,0,0.01,0.01,9.27,0.16,0,1.62,0.22,,1.39,0.14,,101.07,0.38,101.45
201027_P23992_AP16_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,41.95,0.03,0.05,-0.01,-0.01,0,0.08,0.03,54.91,0.89,0,2.71,101.19,,5.62,0.01,0.01,0,0.01,0,9.31,0.24,0,1.36,0.4,,1.14,0.2,,99.85,0.71,100.56
201027_P23992_AP17_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.12,0.07,0.08,-0.02,0,0,0.08,0.14,55.13,0.9,0.01,2.61,101.67,,5.63,0.02,0.01,0,0.01,0.02,9.32,0.24,0,1.3,0.46,,1.1,0.2,,100.37,0.8,101.17
201027_P23992_AP18_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.3,0.01,0.08,-0.01,0.01,0.01,0.1,0.21,54.93,0.88,-0.02,2.66,101.72,,5.64,0,0.01,0,0.01,0.03,9.27,0.23,0,1.33,0.44,,1.12,0.2,,100.4,0.78,101.18
201027_P23992_AP19_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.18,0.05,0.21,0.13,0,0,0.05,0.12,55.33,0.46,0.01,3.41,102.28,,5.55,0.02,0.03,0,0.01,0.02,9.21,0.12,0,1.67,0.2,,1.44,0.1,,100.74,0.36,101.1
201027_P23992_AP20_01_Qti,2,QVC082,Toquepala Granodiorite,Groundmass,NA,01-Jan,42.16,0.01,0.15,0.64,0,0.02,0.01,0.07,55.31,0.21,0,3.48,102.3,,5.53,0,0.02,0,0,0.01,9.18,0.06,0,1.7,0.24,,1.47,0.05,,100.79,0.43,101.22
201027_P24543_A12_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,41.44,0.06,0.18,0.05,0.07,0.06,0.6,0.59,53.88,0.84,0.16,2.62,100.85,,5.58,0.02,0.03,0.01,0.08,0.08,9.19,0.23,0.04,1.32,0.45,,1.1,0.19,,99.56,0.8,100.36
201027_P24543_A12_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Feb,41.79,0.08,0.08,-0.02,0,0.03,0.64,0.48,54.18,0.87,0.11,2.48,100.98,,5.63,0.02,0.01,0,0.09,0.06,9.23,0.23,0.03,1.25,0.52,,1.04,0.2,,99.74,0.91,100.65
201027_P24543_A12_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Mar,41.85,0.08,0.02,-0.03,0,-0.02,0.58,0.45,54.26,0.87,0.08,2.48,100.96,,5.64,0.02,0,0,0.08,0.06,9.26,0.23,0.02,1.25,0.52,,1.04,0.2,,99.72,0.9,100.62
201027_P24543_A12_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Apr,41.99,0.07,0.03,0,-0.01,0.04,0.69,0.53,54.16,0.92,0.12,2.39,101.21,,5.65,0.02,0,0,0.09,0.07,9.21,0.25,0.03,1.2,0.55,,1.01,0.21,,100,0.97,100.96
201027_P24543_A12_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-May,42.08,0.05,0.05,-0.01,0.01,0.05,0.63,0.56,54.14,0.95,0.12,2.34,101.31,,5.65,0.02,0.01,0.01,0.08,0.07,9.21,0.26,0.03,1.17,0.57,,0.99,0.21,,100.11,1,101.11
201027_P24543_A14_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,41.99,0.06,0.01,-0.02,-0.01,0.03,0.56,0.43,54.54,0.76,0.09,2.67,101.36,,5.62,0.02,0,0,0.07,0.06,9.24,0.2,0.02,1.34,0.46,,1.12,0.17,,100.06,0.81,100.87
201027_P24543_AP01_01_Qti,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,42.48,0.09,0.05,-0.04,0,0.05,0.59,0.38,54.06,0.69,0.09,2.49,101.29,,5.69,0.03,0.01,0.01,0.08,0.05,9.16,0.18,0.02,1.25,0.57,,1.05,0.16,,100.09,1,101.09
201027_P24543_AP01_REF1i,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,41.32,0.06,0.04,0,0,0.03,0.61,0.39,54.26,0.84,0.09,2.49,100.43,,5.6,0.02,0.01,0,0.08,0.05,9.31,0.23,0.02,1.26,0.51,,1.05,0.19,,99.19,0.89,100.09
201027_P24543_AP01_REF2,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,41.51,0.09,0,-0.03,0,0.05,0.6,0.39,54.14,0.81,0.09,2.49,100.53,,5.62,0.03,0,0.01,0.08,0.05,9.28,0.22,0.02,1.26,0.52,,1.05,0.18,,99.3,0.91,100.21
201027_P24543_AP01_REF3,7,QVC091,Granodiorite Porphyry,Groundmass,NA,01-Jan,41.94,0.11,0.05,0,0,0.05,0.57,0.38,54.15,0.68,0.09,2.5,100.94,,5.65,0.03,0.01,0.01,0.08,0.05,9.23,0.18,0.02,1.26,0.56,,1.05,0.15,,99.73,0.98,100.71
